[Data: 20/05/28 02:46:58][Room.addPlayer] Jogador '5005' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 02:47:01][Room.RemovePlayer] Jogador '5005' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 02:47:21][Room.addPlayer] Jogador '5005' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 02:53:45][Room.RemovePlayer] Jogador '5005' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 02:53:51][Room.addPlayer] Jogador '5005' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 02:53:59][Room.RemovePlayer] Jogador '5005' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 02:57:41][Room.addPlayer] Jogador '5005' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 02:57:58][Room.addPlayer] Jogador '5002' 'GM DeadoneV5'; OldSlot: -1; NewSlot: 1
[Data: 20/05/28 02:58:06][Room.SwitchNewSlot] Jogador '5002' 'GM DeadoneV5'; OldSlot: 1; NewSlot: 2
[Data: 20/05/28 02:58:09][Room.SwitchNewSlot] Jogador '5005' 'GM CJonaas'; OldSlot: 0; NewSlot: 1
[Data: 20/05/28 03:21:26][Room.RemovePlayer] Jogador '5002' 'GM DeadoneV5'; OldSlot: 2; NewSlot: -1
[Data: 20/05/28 03:21:50][Room.RemovePlayer] Jogador '5005' 'GM CJonaas'; OldSlot: 1; NewSlot: -1
[Data: 20/05/28 03:21:55][Room.addPlayer] Jogador '5005' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 03:23:34][Room.RemovePlayer] Jogador '5005' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 08:08:37][Room.addPlayer] Jogador '5001' 'COD'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 08:09:44][Room.RemovePlayer] Jogador '5001' 'COD'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 10:12:02][Room.addPlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 10:17:05][Room.RemovePlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 10:18:11][Room.addPlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 10:19:45][Room.addPlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: -1; NewSlot: 1
[Data: 20/05/28 10:32:42][Room.RemovePlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 1; NewSlot: -1
[Data: 20/05/28 10:32:56][Room.RemovePlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 10:37:46][Room.addPlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 10:48:21][Room.RemovePlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 11:18:49][Room.addPlayer] Jogador '5022' 'OrNoTDLL'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 11:21:07][Room.addPlayer] Jogador '5006' 'MaxMilan'; OldSlot: -1; NewSlot: 1
[Data: 20/05/28 11:21:12][Room.RemovePlayer] Jogador '5006' 'MaxMilan'; OldSlot: 1; NewSlot: -1
[Data: 20/05/28 11:21:38][Room.addPlayer] Jogador '5006' 'MaxMilan'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 11:22:15][Room.RemovePlayer] Jogador '5022' 'OrNoTDLL'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 11:22:56][Room.addPlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: -1; NewSlot: 1
[Data: 20/05/28 11:25:51][Room.RemovePlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: 1; NewSlot: -1
[Data: 20/05/28 11:26:14][Room.RemovePlayer] Jogador '5006' 'MaxMilan'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 11:26:48][Room.addPlayer] Jogador '5006' 'MaxMilan'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 11:28:43][Room.addPlayer] Jogador '5029' 'XTDorgado'; OldSlot: -1; NewSlot: 1
[Data: 20/05/28 11:28:55][Room.RemovePlayer] Jogador '5029' 'XTDorgado'; OldSlot: 1; NewSlot: -1
[Data: 20/05/28 11:28:59][Room.addPlayer] Jogador '5029' 'XTDorgado'; OldSlot: -1; NewSlot: 1
[Data: 20/05/28 11:29:02][Room.RemovePlayer] Jogador '5029' 'XTDorgado'; OldSlot: 1; NewSlot: -1
[Data: 20/05/28 11:29:10][Room.addPlayer] Jogador '5029' 'XTDorgado'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 11:34:20][Room.addPlayer] Jogador '5001' 'COD'; OldSlot: -1; NewSlot: 1
[Data: 20/05/28 11:34:22][Room.RemovePlayer] Jogador '5001' 'COD'; OldSlot: 1; NewSlot: -1
[Data: 20/05/28 11:34:25][Room.addPlayer] Jogador '5001' 'COD'; OldSlot: -1; NewSlot: 1
[Data: 20/05/28 11:34:30][Room.SwitchNewSlot] Jogador '5001' 'COD'; OldSlot: 1; NewSlot: 2
[Data: 20/05/28 11:36:46][Room.addPlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: -1; NewSlot: 1
[Data: 20/05/28 11:36:48][Room.SwitchNewSlot] Jogador '5019' 'DznnNN.5K'; OldSlot: 1; NewSlot: 4
[Data: 20/05/28 11:37:54][Room.RemovePlayer] Jogador '5006' 'MaxMilan'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 11:37:59][Room.addPlayer] Jogador '5006' 'MaxMilan'; OldSlot: -1; NewSlot: 1
[Data: 20/05/28 11:38:04][Room.SwitchNewSlot] Jogador '5006' 'MaxMilan'; OldSlot: 1; NewSlot: 6
[Data: 20/05/28 11:39:08][Room.RemovePlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: 4; NewSlot: -1
[Data: 20/05/28 11:39:11][Room.RemovePlayer] Jogador '5006' 'MaxMilan'; OldSlot: 6; NewSlot: -1
[Data: 20/05/28 11:39:18][Room.addPlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: -1; NewSlot: 0
