[Data: 20/05/26 11:23:49][Room.SwitchNewSlot] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 4; NewSlot: 5
[Data: 20/05/26 11:23:51][Room.SwitchNewSlot] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 5; NewSlot: 2
[Data: 20/05/26 11:23:51][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 1; NewSlot: 4
[Data: 20/05/26 11:23:53][Room.SwitchNewSlot] Jogador '5016' 'VettSTT'; OldSlot: 0; NewSlot: 1
[Data: 20/05/26 11:27:29][Room.addPlayer] Jogador '5019' ':)'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 11:30:12][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 0; NewSlot: 5
[Data: 20/05/26 11:30:14][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 5; NewSlot: 0
[Data: 20/05/26 11:33:17][Room.RemovePlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 2; NewSlot: -1
[Data: 20/05/26 11:47:07][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 0; NewSlot: 5
[Data: 20/05/26 11:47:09][Room.SwitchNewSlot] Jogador '5016' 'VettSTT'; OldSlot: 1; NewSlot: 0
[Data: 20/05/26 11:47:13][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 5; NewSlot: 2
[Data: 20/05/26 11:47:15][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 2; NewSlot: 1
[Data: 20/05/26 11:53:24][Room.SwitchNewSlot] Jogador '5016' 'VettSTT'; OldSlot: 0; NewSlot: 5
[Data: 20/05/26 11:53:26][Room.SwitchNewSlot] Jogador '5016' 'VettSTT'; OldSlot: 5; NewSlot: 0
[Data: 20/05/26 11:53:31][Room.SwitchNewSlot] Jogador '5016' 'VettSTT'; OldSlot: 0; NewSlot: 5
[Data: 20/05/26 11:53:33][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 1; NewSlot: 0
