[Data: 20/05/04 04:18:15][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 0
[Data: 20/05/04 04:18:21][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/05/04 04:18:47][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 0; NewSlot: -1
[Data: 20/05/04 04:18:51][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 0
[Data: 20/05/04 04:18:59][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: -1
[Data: 20/05/04 04:19:03][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/05/04 04:30:42][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: -1
[Data: 20/05/04 04:30:47][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 0; NewSlot: -1
[Data: 20/05/04 11:18:33][Room.addPlayer] Jogador '5772' 'patricklima'; OldSlot: -1; NewSlot: 0
[Data: 20/05/04 11:19:04][Room.RemovePlayer] Jogador '5772' 'patricklima'; OldSlot: 0; NewSlot: -1
[Data: 20/05/04 11:31:29][Room.addPlayer] Jogador '5772' 'patricklima'; OldSlot: -1; NewSlot: 0
[Data: 20/05/04 11:31:59][Room.RemovePlayer] Jogador '5772' 'patricklima'; OldSlot: 0; NewSlot: -1
[Data: 20/05/04 11:46:29][Room.addPlayer] Jogador '5772' 'patricklima'; OldSlot: -1; NewSlot: 0
[Data: 20/05/04 11:46:36][Room.addPlayer] Jogador '5774' 'Henrique'; OldSlot: -1; NewSlot: 1
[Data: 20/05/04 12:06:26][ROOM_CHANGE_TEAM_REC] Jogador '5774' 'Henrique'; NewSlot: 0
[Data: 20/05/04 12:06:26][ROOM_CHANGE_TEAM_REC] Jogador '5772' 'patricklima'; NewSlot: 1
[Data: 20/05/04 12:13:35][ROOM_CHANGE_TEAM_REC] Jogador '5772' 'patricklima'; NewSlot: 0
[Data: 20/05/04 12:13:35][ROOM_CHANGE_TEAM_REC] Jogador '5774' 'Henrique'; NewSlot: 1
[Data: 20/05/04 12:34:29][Room.RemovePlayer] Jogador '5774' 'Henrique'; OldSlot: 1; NewSlot: -1
[Data: 20/05/04 12:34:31][Room.RemovePlayer] Jogador '5772' 'patricklima'; OldSlot: 0; NewSlot: -1
[Data: 20/05/04 16:12:45][Room.addPlayer] Jogador '5772' 'patricklima'; OldSlot: -1; NewSlot: 0
[Data: 20/05/04 16:16:15][Room.RemovePlayer] Jogador '5772' 'patricklima'; OldSlot: 0; NewSlot: -1
[Data: 20/05/04 18:34:57][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/04 18:40:06][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/04 18:48:20][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/04 18:48:23][Room.SwitchNewSlot] Jogador '5760' 'GM CJonaas'; OldSlot: 0; NewSlot: 1
[Data: 20/05/04 18:48:34][Room.addPlayer] Jogador '5772' 'patricklima'; OldSlot: -1; NewSlot: 0
