[Data: 20/05/12 01:00:41][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 0
[Data: 20/05/12 01:03:19][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/05/12 01:03:23][Room.SwitchNewSlot] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: 2
[Data: 20/05/12 01:06:37][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 2; NewSlot: -1
[Data: 20/05/12 01:06:42][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 0; NewSlot: -1
[Data: 20/05/12 01:06:54][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 0
[Data: 20/05/12 01:06:59][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/05/12 01:10:26][Room.addPlayer] Jogador '5791' 'MMMAT'; OldSlot: -1; NewSlot: 2
[Data: 20/05/12 01:10:35][Room.SwitchNewSlot] Jogador '5791' 'MMMAT'; OldSlot: 2; NewSlot: 3
[Data: 20/05/12 01:14:41][Room.SwitchNewSlot] Jogador '5791' 'MMMAT'; OldSlot: 3; NewSlot: 2
[Data: 20/05/12 01:14:44][Room.SwitchNewSlot] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: 4
[Data: 20/05/12 01:14:50][Room.SwitchNewSlot] Jogador '5791' 'MMMAT'; OldSlot: 2; NewSlot: 1
[Data: 20/05/12 01:27:18][Room.SwitchNewSlot] Jogador '5791' 'MMMAT'; OldSlot: 1; NewSlot: 2
[Data: 20/05/12 01:27:20][Room.SwitchNewSlot] Jogador '5791' 'MMMAT'; OldSlot: 2; NewSlot: 1
[Data: 20/05/12 01:29:08][Room.SwitchNewSlot] Jogador '5791' 'MMMAT'; OldSlot: 1; NewSlot: 2
[Data: 20/05/12 01:29:10][Room.SwitchNewSlot] Jogador '5791' 'MMMAT'; OldSlot: 2; NewSlot: 1
[Data: 20/05/12 01:30:25][Room.RemovePlayer] Jogador '5791' 'MMMAT'; OldSlot: 1; NewSlot: -1
[Data: 20/05/12 01:32:04][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 4; NewSlot: -1
[Data: 20/05/12 01:35:38][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/05/12 01:35:41][Room.SwitchNewSlot] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: 2
[Data: 20/05/12 01:36:00][Room.addPlayer] Jogador '5791' 'MMMAT'; OldSlot: -1; NewSlot: 1
