[Data: 20/05/09 00:59:58][Room.RemovePlayer] Jogador '5769' 'mteocristo'; OldSlot: 1; NewSlot: -1
[Data: 20/05/09 01:00:49][Room.RemovePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 3; NewSlot: -1
[Data: 20/05/09 01:00:52][Room.RemovePlayer] Jogador '5784' 'SkyDark'; OldSlot: 2; NewSlot: -1
[Data: 20/05/09 01:00:54][Room.RemovePlayer] Jogador '5785' 'JChuu'; OldSlot: 0; NewSlot: -1
[Data: 20/05/09 01:00:55][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/05/09 01:00:57][Room.RemovePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 0; NewSlot: -1
[Data: 20/05/09 01:01:03][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/05/09 01:01:04][Room.addPlayer] Jogador '5785' 'JChuu'; OldSlot: -1; NewSlot: 0
[Data: 20/05/09 01:01:06][Room.addPlayer] Jogador '5784' 'SkyDark'; OldSlot: -1; NewSlot: 1
[Data: 20/05/09 01:01:43][Room.RemovePlayer] Jogador '5785' 'JChuu'; OldSlot: 0; NewSlot: -1
[Data: 20/05/09 01:01:47][Room.addPlayer] Jogador '5785' 'JChuu'; OldSlot: -1; NewSlot: 2
[Data: 20/05/09 01:01:56][Room.SwitchNewSlot] Jogador '5785' 'JChuu'; OldSlot: 2; NewSlot: 3
[Data: 20/05/09 01:14:38][Room.RemovePlayer] Jogador '5785' 'JChuu'; OldSlot: 3; NewSlot: -1
[Data: 20/05/09 01:14:46][Room.RemovePlayer] Jogador '5784' 'SkyDark'; OldSlot: 1; NewSlot: -1
[Data: 20/05/09 01:21:05][Room.RemovePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 0; NewSlot: -1
[Data: 20/05/09 01:21:13][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/05/09 01:25:51][Room.RemovePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 0; NewSlot: -1
[Data: 20/05/09 01:28:00][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/05/09 01:28:08][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/05/09 01:37:35][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 2
[Data: 20/05/09 01:48:28][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 2; NewSlot: -1
[Data: 20/05/09 01:48:32][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 0
[Data: 20/05/09 01:49:01][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: -1
[Data: 20/05/09 01:49:03][Room.RemovePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 0; NewSlot: -1
[Data: 20/05/09 01:49:07][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/05/09 01:49:08][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 2
[Data: 20/05/09 01:50:10][Room.SwitchNewSlot] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 0; NewSlot: 3
[Data: 20/05/09 01:55:44][Room.SwitchNewSlot] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: 0
[Data: 20/05/09 01:55:57][AllUtils.TryBalancePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 0; NewSlot: 0
[Data: 20/05/09 02:06:39][Room.SwitchNewSlot] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 3; NewSlot: 0
[Data: 20/05/09 02:06:42][AllUtils.TryBalancePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 0; NewSlot: 0
[Data: 20/05/09 02:17:13][Room.SwitchNewSlot] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: 0
[Data: 20/05/09 02:17:29][Room.SwitchNewSlot] Jogador '5760' 'GM CJonaas'; OldSlot: 0; NewSlot: 1
[Data: 20/05/09 02:29:26][Room.SwitchNewSlot] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: 0
[Data: 20/05/09 02:31:38][Room.SwitchNewSlot] Jogador '5763' 'Destroylife1000'; OldSlot: 2; NewSlot: 1
[Data: 20/05/09 02:41:45][Room.SwitchNewSlot] Jogador '5763' 'Destroylife1000'; OldSlot: 1; NewSlot: 2
[Data: 20/05/09 02:41:51][Room.SwitchNewSlot] Jogador '5760' 'GM CJonaas'; OldSlot: 0; NewSlot: 1
[Data: 20/05/09 02:55:11][Room.SwitchNewSlot] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 3; NewSlot: 0
[Data: 20/05/09 02:55:13][Room.SwitchNewSlot] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: 4
[Data: 20/05/09 02:55:14][Room.SwitchNewSlot] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 0; NewSlot: 1
[Data: 20/05/09 03:07:40][Room.SwitchNewSlot] Jogador '5760' 'GM CJonaas'; OldSlot: 4; NewSlot: 3
[Data: 20/05/09 03:36:59][Room.SwitchNewSlot] Jogador '5763' 'Destroylife1000'; OldSlot: 2; NewSlot: 5
[Data: 20/05/09 03:37:06][Room.SwitchNewSlot] Jogador '5763' 'Destroylife1000'; OldSlot: 5; NewSlot: 0
[Data: 20/05/09 03:37:08][Room.SwitchNewSlot] Jogador '5763' 'Destroylife1000'; OldSlot: 0; NewSlot: 5
[Data: 20/05/09 03:37:10][Room.SwitchNewSlot] Jogador '5763' 'Destroylife1000'; OldSlot: 5; NewSlot: 0
[Data: 20/05/09 03:39:00][Room.SwitchNewSlot] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 1; NewSlot: 2
[Data: 20/05/09 03:39:05][Room.SwitchNewSlot] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 2; NewSlot: 1
[Data: 20/05/09 03:46:03][Room.RemovePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 0; NewSlot: -1
[Data: 20/05/09 03:46:04][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 1; NewSlot: -1
[Data: 20/05/09 03:46:18][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 3; NewSlot: -1
[Data: 20/05/09 13:31:52][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/05/09 13:45:44][Room.RemovePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 0; NewSlot: -1
