[Data: 20/05/27 15:46:30][Room.addPlayer] Jogador '5000' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/05/27 15:46:33][Room.RemovePlayer] Jogador '5000' 'Destroylife1000'; OldSlot: 0; NewSlot: -1
[Data: 20/05/27 16:07:16][Room.RemovePlayer] Jogador '5016' 'VettSTT'; OldSlot: 2; NewSlot: -1
[Data: 20/05/27 16:09:41][Room.RemovePlayer] Jogador '5001' 'COD'; OldSlot: 3; NewSlot: -1
[Data: 20/05/27 16:35:00][Room.RemovePlayer] Jogador '5020' 'VB_Destroyer'; OldSlot: 0; NewSlot: -1
[Data: 20/05/27 17:03:38][Room.addPlayer] Jogador '5025' ' STEVE'; OldSlot: -1; NewSlot: 0
[Data: 20/05/27 17:13:10][Room.RemovePlayer] Jogador '5025' ' STEVE'; OldSlot: 0; NewSlot: -1
[Data: 20/05/27 17:18:23][Room.addPlayer] Jogador '5025' ' STEVE'; OldSlot: -1; NewSlot: 0
[Data: 20/05/27 17:22:23][Room.RemovePlayer] Jogador '5025' ' STEVE'; OldSlot: 0; NewSlot: -1
[Data: 20/05/27 17:22:46][Room.addPlayer] Jogador '5025' ' STEVE'; OldSlot: -1; NewSlot: 0
[Data: 20/05/27 17:36:33][Room.RemovePlayer] Jogador '5025' ' STEVE'; OldSlot: 0; NewSlot: -1
[Data: 20/05/27 17:59:49][Room.addPlayer] Jogador '5020' 'VB_Destroyer'; OldSlot: -1; NewSlot: 0
[Data: 20/05/27 18:01:14][Room.addPlayer] Jogador '5025' ' STEVE'; OldSlot: -1; NewSlot: 1
[Data: 20/05/27 18:01:18][Room.SwitchNewSlot] Jogador '5025' ' STEVE'; OldSlot: 1; NewSlot: 2
[Data: 20/05/27 18:05:42][Room.RemovePlayer] Jogador '5025' ' STEVE'; OldSlot: 2; NewSlot: -1
[Data: 20/05/27 18:05:44][Room.RemovePlayer] Jogador '5020' 'VB_Destroyer'; OldSlot: 0; NewSlot: -1
[Data: 20/05/27 18:05:46][Room.addPlayer] Jogador '5025' ' STEVE'; OldSlot: -1; NewSlot: 0
[Data: 20/05/27 18:05:51][Room.addPlayer] Jogador '5020' 'VB_Destroyer'; OldSlot: -1; NewSlot: 1
[Data: 20/05/27 18:27:31][Room.addPlayer] Jogador '5022' 'OrNoTDLL'; OldSlot: -1; NewSlot: 2
[Data: 20/05/27 18:27:47][AllUtils.TryBalancePlayer] Jogador '5022' 'OrNoTDLL'; OldSlot: 2; NewSlot: 2
[Data: 20/05/27 18:42:04][Room.RemovePlayer] Jogador '5025' ' STEVE'; OldSlot: 0; NewSlot: -1
[Data: 20/05/27 18:42:12][Room.SwitchNewSlot] Jogador '5020' 'VB_Destroyer'; OldSlot: 1; NewSlot: 0
[Data: 20/05/27 18:53:03][Room.RemovePlayer] Jogador '5022' 'OrNoTDLL'; OldSlot: 3; NewSlot: -1
[Data: 20/05/27 18:54:22][Room.RemovePlayer] Jogador '5020' 'VB_Destroyer'; OldSlot: 0; NewSlot: -1
[Data: 20/05/27 19:37:04][Room.addPlayer] Jogador '5022' 'OrNoTDLL'; OldSlot: -1; NewSlot: 0
[Data: 20/05/27 19:37:19][Room.SwitchNewSlot] Jogador '5022' 'OrNoTDLL'; OldSlot: 0; NewSlot: 1
[Data: 20/05/27 19:48:03][Room.RemovePlayer] Jogador '5022' 'OrNoTDLL'; OldSlot: 1; NewSlot: -1
[Data: 20/05/27 20:03:10][Room.addPlayer] Jogador '5025' ' STEVE'; OldSlot: -1; NewSlot: 0
