[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '30/04/20 23:10'
[.banAE2 5764] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '30/04/20 23:11'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '30/04/20 23:12'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '30/04/20 23:12'
[.end] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '30/04/20 23:37'
[.gift 5759 300005099] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:12'
[.gift 5759 300005108] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:13'
[.gift 5759 300005104] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:13'
[.gift 5759 1302204000] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:15'
[.gift 5759 1302204000] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:16'
[.gift 5759 300005292] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:20'
[.g quando sairem da sala terei um presente a todos vcs] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:21'
[.gift 5765 300005292] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:24'
[.gift 5767 300005292] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:25'
[.gift 5759 300005304] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:30'
[.gift 5759 300005305] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:34'
[.gift 5759 1301180000] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:34'
[.gift 5759 13021220000] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:36'
[.gift 5759 13021220000] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:37'
[.gift 5759 13022660000] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:39'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:41'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:41'
[.cp2 5765] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:41'
[.cp2 5767] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 13:41'
[.g bora ] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 20:51'
[.gift 5767 300005232] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 21:14'
[.gift 5760 702001210] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 21:20'
[.gift 5767 702001210] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 21:22'
[.help3] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 21:22'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 21:23'
[.cid 5767 300005232] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 21:24'
[.help] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 23:30'
[.help3] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '01/05/20 23:31'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '03/05/20 21:25'
[.reason ] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '03/05/20 21:25'
[.reason 5759] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '03/05/20 21:25'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '03/05/20 21:25'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '03/05/20 21:26'
[.help6] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '03/05/20 21:26'
[.help6] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '03/05/20 21:28'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '03/05/20 21:28'
[.upchan] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '03/05/20 21:28'
[.upchan 1 Bem-vindo ao Porject-NightClub] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '03/05/20 21:31'
[.upchan 004 Bem-vindo ao Porject-NightClub] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '03/05/20 21:31'
[.upchan 4 Bem-vindo ao Porject-NightClub] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '03/05/20 21:31'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 01:50'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 01:53'
[.help3] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 01:55'
[.help3] playerId: 5760; Nick: 'MOD CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '04/05/20 01:55'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 01:56'
[.setacess 5760 5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 01:56'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 01:56'
[.setacess 5760 4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 01:56'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 01:57'
[.changerank 5760 53] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 01:57'
[.help4] playerId: 5760; Nick: 'MOD CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '04/05/20 02:03'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 02:03'
[.help5] playerId: 5760; Nick: 'MOD CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '04/05/20 02:03'
[.chargenick GM CJonaas] playerId: 5760; Nick: 'MOD CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '04/05/20 02:04'
[.changenick GM CJonaas] playerId: 5760; Nick: 'MOD CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '04/05/20 02:04'
[.hel4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 02:06'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 02:06'
[.help6] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 02:08'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 02:09'
[.changerank 5772 53] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 02:09'
[.setacess 5772 4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 02:10'
[.help4] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 02:28'
[.help4] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 02:28'
[.help] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 02:28'
[.help1] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 02:28'
[.help2] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 02:28'
[.help3] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 02:29'
[.help5] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 02:29'
[.help4] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 02:29'
[.cp patricklima] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 02:29'
[.cp patricklima] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 02:30'
