[.players1] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/05/20 20:11'
[.players1] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/05/20 20:18'
[.players1] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '27/05/20 20:18'
[.players1] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/05/20 20:28'
[.players1] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/05/20 20:29'
[.players1] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/05/20 20:29'
[.players1] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '27/05/20 20:29'
[.players1] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/05/20 20:29'
[.players1] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/05/20 20:29'
